                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.1385,                 2.1327,                 1.9548,                0.58129,                0.42562,                0.49974,                0.34033,                  1.102,                 2.6454,                 2.0909,             0.00069744,             0.00069744,             0.00069744
                     97,                 1.0523,                 2.1758,                 1.9017,                0.58129,                0.42562,                0.49974,                0.34033,                  1.102,                 2.6454,                 2.0909,             0.00069668,             0.00069668,             0.00069668
                     98,                 1.1292,                 2.2018,                 1.9172,                0.46751,                0.62048,                0.52929,                0.39252,                 0.9599,                 2.2271,                 1.8727,             0.00069591,             0.00069591,             0.00069591
                     99,                0.99202,                 2.0859,                 1.8399,                0.46751,                0.62048,                0.52929,                0.39252,                 0.9599,                 2.2271,                 1.8727,             0.00069515,             0.00069515,             0.00069515
                    100,                 1.0083,                 2.1048,                 1.8502,                0.46223,                0.87826,                0.53282,                0.40324,                0.90967,                 2.0117,                 1.7775,             0.00069439,             0.00069439,             0.00069439
                    101,                 1.0584,                 2.0852,                 1.9165,                0.46223,                0.87826,                0.53282,                0.40324,                0.90967,                 2.0117,                 1.7775,             0.00069363,             0.00069363,             0.00069363
                    102,                 1.1313,                 2.1193,                 1.9166,                0.44163,                0.87138,                 0.5289,                0.41951,                0.85608,                 2.3643,                 1.7399,             0.00069287,             0.00069287,             0.00069287
                    103,                0.92765,                  2.045,                 1.8116,                0.44163,                0.87138,                 0.5289,                0.41951,                0.85608,                 2.3643,                 1.7399,             0.00069211,             0.00069211,             0.00069211
                    104,                 1.0231,                 2.0939,                  1.834,                0.43732,                0.84223,                 0.5422,                0.41989,                0.87667,                 2.0937,                 1.7602,             0.00069135,             0.00069135,             0.00069135
                    105,                0.98352,                 2.0808,                 1.8194,                0.43732,                0.84223,                 0.5422,                0.41989,                0.87667,                 2.0937,                 1.7602,             0.00069059,             0.00069059,             0.00069059
                    106,                0.99233,                 2.0691,                 1.8451,                0.44515,                0.84391,                0.58207,                0.41807,                 1.0305,                 1.8675,                   1.87,             0.00068982,             0.00068982,             0.00068982
                    107,                0.94092,                 2.0165,                 1.7819,                0.44515,                0.84391,                0.58207,                0.41807,                 1.0305,                 1.8675,                   1.87,             0.00068906,             0.00068906,             0.00068906
                    108,                 1.1665,                 2.1281,                 1.9007,                0.51178,                0.58421,                0.58321,                0.43607,                0.89163,                 2.0748,                  1.857,              0.0006883,              0.0006883,              0.0006883
                    109,                0.98157,                 2.0103,                 1.8133,                0.51178,                0.58421,                0.58321,                0.43607,                0.89163,                 2.0748,                  1.857,             0.00068754,             0.00068754,             0.00068754
                    110,                0.96486,                 1.9553,                 1.8056,                0.43188,                0.89508,                0.58126,                 0.4209,                0.96784,                 2.3354,                 1.9403,             0.00068678,             0.00068678,             0.00068678
                    111,                0.92637,                 1.9842,                 1.7657,                0.43188,                0.89508,                0.58126,                 0.4209,                0.96784,                 2.3354,                 1.9403,             0.00068602,             0.00068602,             0.00068602
                    112,                0.96878,                 2.0278,                 1.7641,                0.45214,                0.85687,                0.59114,                 0.4455,                0.91178,                  2.299,                 1.8378,             0.00068526,             0.00068526,             0.00068526
                    113,                0.90201,                 2.0002,                 1.7329,                0.45214,                0.85687,                0.59114,                 0.4455,                0.91178,                  2.299,                 1.8378,             0.00068449,             0.00068449,             0.00068449
                    114,                0.86123,                 2.0223,                 1.7091,                0.62115,                0.53764,                0.59852,                0.47253,                0.83412,                 2.1039,                 1.6935,             0.00068373,             0.00068373,             0.00068373
                    115,                0.95557,                 1.9639,                 1.7689,                0.62115,                0.53764,                0.59852,                0.47253,                0.83412,                 2.1039,                 1.6935,             0.00068297,             0.00068297,             0.00068297
                    116,                   1.07,                 2.0283,                 1.8343,                0.47617,                 0.8376,                0.58506,                0.46199,                0.82604,                 1.9315,                 1.6564,             0.00068221,             0.00068221,             0.00068221
                    117,                 0.9347,                 1.9697,                 1.7765,                0.47617,                 0.8376,                0.58506,                0.46199,                0.82604,                 1.9315,                 1.6564,             0.00068145,             0.00068145,             0.00068145
                    118,                0.93615,                 1.9744,                 1.7417,                0.45746,                0.87142,                0.58402,                0.47411,                0.79613,                 1.8597,                 1.6013,             0.00068069,             0.00068069,             0.00068069
                    119,                0.89225,                 1.9404,                 1.7226,                0.45746,                0.87142,                0.58402,                0.47411,                0.79613,                 1.8597,                 1.6013,             0.00067993,             0.00067993,             0.00067993
                    120,                0.87893,                  1.932,                 1.7522,                0.43401,                0.91258,                0.58243,                0.46064,                0.83079,                 1.8447,                 1.6198,             0.00067917,             0.00067917,             0.00067917
                    121,                0.83978,                 1.8912,                 1.6668,                0.43401,                0.91258,                0.58243,                0.46064,                0.83079,                 1.8447,                 1.6198,              0.0006784,              0.0006784,              0.0006784
                    122,                0.82931,                 1.8913,                 1.6795,                0.46297,                0.93214,                0.59935,                 0.4457,                0.90111,                 1.8975,                  1.697,             0.00067764,             0.00067764,             0.00067764
                    123,                0.93576,                 1.9684,                 1.7359,                0.46297,                0.93214,                0.59935,                 0.4457,                0.90111,                 1.8975,                  1.697,             0.00067688,             0.00067688,             0.00067688
                    124,                0.85964,                 1.8829,                 1.6885,                0.49611,                0.87098,                0.60174,                0.43199,                 0.9283,                 2.0034,                 1.7189,             0.00067612,             0.00067612,             0.00067612
                    125,                0.78753,                 1.8855,                 1.6196,                0.49611,                0.87098,                0.60174,                0.43199,                 0.9283,                 2.0034,                 1.7189,             0.00067536,             0.00067536,             0.00067536
                    126,                0.93776,                 1.9954,                 1.6649,                0.45796,                0.94809,                0.59832,                0.43315,                0.96111,                 2.1958,                 1.7872,              0.0006746,              0.0006746,              0.0006746
                    127,                0.88827,                 1.9531,                 1.6781,                0.45796,                0.94809,                0.59832,                0.43315,                0.96111,                 2.1958,                 1.7872,             0.00067384,             0.00067384,             0.00067384
                    128,                0.81889,                 1.9216,                 1.6213,                0.41985,                0.99691,                0.61051,                0.44241,                0.97896,                 2.2816,                    1.8,             0.00067307,             0.00067307,             0.00067307
                    129,                0.82118,                 1.9486,                 1.5913,                0.41985,                0.99691,                0.61051,                0.44241,                0.97896,                 2.2816,                    1.8,             0.00067231,             0.00067231,             0.00067231
                    130,                0.96567,                 1.9817,                 1.7119,                0.46209,                0.96051,                0.61892,                 0.4985,                0.73707,                  2.169,                  1.636,             0.00067155,             0.00067155,             0.00067155
                    131,                 0.7976,                 1.9368,                 1.5996,                0.46209,                0.96051,                0.61892,                 0.4985,                0.73707,                  2.169,                  1.636,             0.00067079,             0.00067079,             0.00067079
                    132,                0.79657,                 1.9053,                 1.5714,                0.49202,                0.87344,                0.62395,                 0.5155,                0.71153,                 1.9554,                 1.6277,             0.00067003,             0.00067003,             0.00067003
                    133,                 0.7707,                 1.8453,                 1.5776,                0.49202,                0.87344,                0.62395,                 0.5155,                0.71153,                 1.9554,                 1.6277,             0.00066927,             0.00066927,             0.00066927
